description,technical_code
Electrical-Power Distribution-Motor Starter Panel-Motor Starter Panel-Motor Starter Panel,ELP07
Electrical-Power Distribution-Panel Anti Condensation Heater-Panel Anti-Condensation Heater-Panel Anti-Condensation Heater,ELP08
Electrical-Power Distribution-UPS Distribution Panel-UPS Distribution Panel-UPS Distribution Panel,ELP09
Electrical-Power Generator-Alternator-Alternator-Alternator,ELG01
Electrical-Power Generator-Solar Panel-Solar Panel-Solar Panel,ELG02
Electrical-Switchgear-Switchgear HV-Switchgear HV-Switchgear HV,ELS02
Electrical-Switchgear-Switchgear LV-Switchgear LV-Switchgear LV,ELS03
Electrical-Transformer-HV Transformer-HV Transformer-HV Transformer,ELT01
Electrical-Transformer-LV Transformer-LV Transformer-LV Transformer,ELT02
Electrical-Lights & Fixtures-Helideck C&H Light-Helideck C&H Light-Helideck C&H Light,ELL05
Electrical-Lights & Fixtures-Helideck Perimeter Light-Helideck Perimeter Light-Helideck Perimeter Light,ELL06
Electrical-Lights & Fixtures-Helideck Status Light -Helideck Status Light -Helideck Status Light ,ELL07
Electrical-Battery-UPS Package-UPS Package-UPS Package,ELU02
Electrical-Power Management System-PMS Package-PMS Package-PMS Package,ELE01
Lifting & Handling-Lifting & Handling Ancillary-Chain Storage-Chain Storage-Chain Storage,LHH01
Lifting & Handling-Lifting & Handling Ancillary-Lifting & Rigging Equipment (Generic) - for migration only-Lifting & Rigging Equipment (Generic) - for migration only-Lifting & Rigging Equipment (Generic) - for migration only,LHH99
Lifting & Handling-Crane-Pedestal Crane-Pedestal Crane-Pedestal Crane,LHC01
Lifting & Handling-Crane-Travelling Crane-Travelling Crane-Travelling Crane,LHC02
Lifting & Handling-Crane-Davit Crane-Davit Crane-Davit Crane,LHC03
Lifting & Handling-Crane-Gantry Crane-Gantry Crane-Gantry Crane,LHC04
Lifting & Handling-Lifting & Handling Devices-Elevator-Elevator-Elevator,LHD01
Lifting & Handling-Hoist & Trolley-Powered Hoist-Powered Hoist-Powered Hoist,LHT01
Lifting & Handling-Hoist & Trolley-Manual Hoist-Manual Hoist-Manual Hoist,LHT02
Lifting & Handling-Lifting & Handling Devices-Roller-Roller-Roller,LHD02
Lifting & Handling-Lifting & Handling Devices-Fairlead-Fairlead-Fairlead,LHD03
Lifting & Handling-Lifting & Handling Devices-Sheave-Sheave-Sheave,LHD04
Lifting & Handling-Lifting & Handling Devices-Wire Rope-Wire Rope-Wire Rope,LHD05
Lifting & Handling-Lifting & Handling Devices-Heave Compensation System-Heave Compensation System-Heave Compensation System,LHD06
Lifting & Handling-Jack-Chain Lifting Jack-Chain Lifting Jack-Chain Lifting Jack,LHJ01
Lifting & Handling-Jack-Strand Jack-Strand Jack-Strand Jack,LHJ02
Lifting & Handling-Reel-Mooring Hawser Reel-Mooring Hawser Reel-Mooring Hawser Reel,LHR01
Lifting & Handling-Reel-Offloading Hose Reel-Offloading Hose Reel-Offloading Hose Reel,LHR02
Lifting & Handling-Reel-Hose Reel-Hose Reel-Hose Reel,LHR03
Lifting & Handling-Hoist & Trolley-Powered Trolley-Powered Trolley-Powered Trolley,LHT03
Lifting & Handling-Hoist & Trolley-Manual Trolley-Manual Trolley-Manual Trolley,LHT04
Lifting & Handling-Lifting & Handling Devices-Fork Lift Truck-Fork Lift Truck-Fork Lift Truck,LHD07
Lifting & Handling-Winch-Windlass Winch-Windlass Winch-Windlass Winch,LHW01
Lifting & Handling-Winch-Capstan Winch-Capstan Winch-Capstan Winch,LHW02
Lifting & Handling-Winch-Linear Winch-Linear Winch-Linear Winch,LHW03
Lifting & Handling-Winch-Electric  Drum Winch-Electric  Drum Winch-Electric  Drum Winch,LHW10
Lifting & Handling-Winch-Hydraulic DrumWinch-Hydraulic DrumWinch-Hydraulic DrumWinch,LHW05
Lifting & Handling-Winch-Traction Winch-Traction Winch-Traction Winch,LHW06
Lifting & Handling-Winch-Pneumatic Drum Winch-Pneumatic Drum Winch-Pneumatic Drum Winch,LHW07
Lifting & Handling-Loading Arm-Loading Arm Package-Loading Arm-Loading Arm,LHL01
Lifting & Handling-Jack-Mooring Tensioning Package-Mooring Tensioning Package-Mooring Tensioning Package,LHJ03
Lifting & Handling-Lifting & Handling Devices-Quick Release Hook Package-Quick Release Hook-Quick Release Hook,LHD08
Lifting & Handling-Winch-Riser Pulling Package-Riser Pulling Package-Riser Pulling Package,LHW08
Lifting & Handling-Winch-Umbilical Pulling Package-Umbilical Pulling Package-Umbilical Pulling Package,LHW09
Instruments & Controls-Instrument & Control Ancillary-Air Distribution Manifold-Air Distribution Manifold-Air Distribution Manifold,ICA01
Instruments & Controls-Instrument & Control Ancillary-HMI-HMI-HMI,ICA02
Instruments & Controls-Control Panel-IO Cabinet-IO Cabinet-IO Cabinet,ICB01
Instruments & Controls-Control Panel-Local Control Panel-Local Control Panel-Local Control Panel,ICB02
Instruments & Controls-Control Panel-Control Panel-Control Panel-Control Panel,ICB03
Instruments & Controls-Control Panel-Unit Control Panel-Unit Control Panel-Unit Control Panel,ICB04
Instruments & Controls-Control Panel-Local Panel-Local Panel-Local Panel,ICB05
Instruments & Controls-ICSS-ICSS Package-ICSS Package-ICSS Package,ICC01
Instruments & Controls-ICSS-ICSS Critical Action Panel Package-ICSS Critical Action Panel Package-ICSS Critical Action Panel Package,ICC01
Instruments & Controls-Monitoring System-Fuel Oil Viscosity Controller Package-Fuel Oil Viscosity Controller Package-Fuel Oil Viscosity Controller Package,ICD01
Instruments & Controls-Metering System-Gas Metering Package-Gas Metering Package-Gas Metering Package,ICE01
Instruments & Controls-Monitoring System-Loadmaster Computer Package-Loadmaster Computer Package-Loadmaster Computer Package,ICD02
Instruments & Controls-Monitoring System-Load Monitoring Package-Load Monitoring Package-Load Monitoring Package,ICD03
Instruments & Controls-Metering System-Oil Metering Package-Oil Metering Package-Oil Metering Package,ICE02
Instruments & Controls-Monitoring System-Tank Gauging Package-Tank Gauging Package-Tank Gauging Package,ICD04
Instruments & Controls-Monitoring System-Vibration Monitoring Package-Vibration Monitoring Package-Vibration Monitoring Package,ICD05
HVAC-HVAC Equipment-Air Handling Unit-Air Handling Unit-Air Handling Unit,HVA01
HVAC-HVAC Equipment-Chiller Unit-Chiller Unit-Chiller Unit,HVA02
HVAC-HVAC Equipment-Condensing Unit-Condensing Unit-Condensing Unit,HVA03
HVAC-HVAC Equipment-Dehumidifier-Dehumidifier-Dehumidifier,HVA04
HVAC-HVAC Equipment-Fan Coil Unit-Fan Coil Unit-Fan Coil Unit,HVA05
HVAC-HVAC Equipment-Manual Damper-Manual Damper-Manual Damper,HVA06
HVAC-HVAC Equipment-Shut-Off Damper-Shut-Off Damper-Shut-Off Damper,HVA07
HVAC-HVAC Equipment-Fire Damper-Fire Damper-Fire Damper,HVA08
HVAC-HVAC Equipment-Diffuser -Diffuser -Diffuser ,HVA09
HVAC-HVAC Equipment-Non Return Damper-Non Return Damper-Non Return Damper,HVA13
HVAC-HVAC Equipment-Pressure Relief Damper-Pressure Relief Damper-Pressure Relief Damper,HVA14
HVAC-HVAC Equipment-Modulating Damper-Modulating Damper-Modulating Damper,HVA15
HVAC-HVAC Equipment-Supply Fan-Supply Fan-Supply Fan,HVA10
HVAC-HVAC Equipment-Exhaust Fan-Exhaust Fan-Exhaust Fan,HVA11
HVAC-HVAC Equipment-Cooling Fan-Cooling Fan-Cooling Fan,HVA16
HVAC-HVAC Equipment-Ventilator-Ventilator-Ventilator,HVA17
HVAC-HVAC Equipment-Louver-Louver-Louver,HVA18
HVAC-HVAC Equipment-Sound Attenuator-Sound Attenuator-Sound Attenuator,HVA19
HVAC-HVAC Equipment-HVAC Filter-HVAC Filter-HVAC Filter,HVA12
HVAC-HVAC Equipment-HVAC Package-HVAC Package-HVAC Package,HVA20
Mechanical-Mechanical Ancillary-Bottle Rack-Bottle Rack-Bottle Rack,MEA01
Mechanical-Mechanical Ancillary-Internals-Internals-Internals,MEA02
Mechanical-Mechanical Ancillary-Oil Washing Machine-Oil Washing Machine-Oil Washing Machine,MEA03
Mechanical-Mechanical Ancillary-Sampling Board-Sampling Board-Sampling Board,MEA04
Mechanical-Mechanical Ancillary-Silencer-Silencer-Silencer,MEA05
Mechanical-Mechanical Ancillary-Static Mixer-Static Mixer-Static Mixer,MEA06
Mechanical-Mechanical Ancillary-Miscellaneous Skid-Miscellaneous Skid-Miscellaneous Skid,MEA07
Mechanical-Mechanical Ancillary-Torquing / Tensioning Tool -Torquing / Tensioning Tool -Torquing / Tensioning Tool ,MEA11
"Mechanical-Boiler, Heater & Flare-Electric Boiler-Electric Boiler-Electric Boiler",MEB01
"Mechanical-Boiler, Heater & Flare-Fired Boiler-Fired Boiler-Fired Boiler",MEB02
"Mechanical-Boiler, Heater & Flare-Non Fired Boiler-Non Fired Boiler-Non Fired Boiler",MEB03
"Mechanical-Boiler, Heater & Flare-Direct Fired Heater -Direct Fired Heater -Direct Fired Heater ",MEB04
Mechanical-Bearing-Roller Bearing -Roller Bearing -Roller Bearing ,MEI01
Mechanical-Bearing-Spherical  Bearing -Spherical  Bearing -Spherical  Bearing ,MEI02
Mechanical-Bearing-Spherical  Bearing -Spherical  Bearing -Spherical  Bearing ,MEI99
Mechanical-Compressor-Blower Compressor-Blower Compressor-Blower Compressor,MEC01
Mechanical-Compressor-Centrifugal Compressor-Centrifugal Compressor-Centrifugal Compressor,MEC02
Mechanical-Compressor-Reciprocating Compressor-Reciprocating Compressor-Reciprocating Compressor,MEC03
Mechanical-Compressor-Rotary Compressor-Rotary Compressor-Rotary Compressor,MEC04
Mechanical-Compressor-Screw Compressor-Screw Compressor-Screw Compressor,MEC05
Mechanical-Compressor-Liquid Ring Compressor-Liquid Ring Compressor-Liquid Ring Compressor,MEC11
Mechanical-Compressor-Sliding Vane Compressor-Sliding Vane Compressor-Sliding Vane Compressor,MEC12
Mechanical-Driver & Transmission-Diesel Engine-Diesel Engine-Diesel Engine,MED01
Mechanical-Driver & Transmission-Gas Turbine-Gas Turbine-Gas Turbine,MED02
Mechanical-Driver & Transmission-Hydraulic Motor-Hydraulic Motor-Hydraulic Motor,MED03
Mechanical-Driver & Transmission-Pneumatic Motor-Pneumatic Motor-Pneumatic Motor,MED04
Mechanical-Driver & Transmission-Steam Turbine-Steam Turbine-Steam Turbine,MED05
Mechanical-Driver & Transmission-Gas Engine-Gas Engine-Gas Engine,MED06
Mechanical-Mechanical Filter-Membrane Filter-Membrane Filter-Membrane Filter,MEF01
Mechanical-Mechanical Filter-Vessel Filter-Vessel Filter-Vessel Filter,MEF02
Mechanical-Heat Exchanger-Air Cooler Heat Exchanger-Air Cooler Heat Exchanger-Air Cooler Heat Exchanger,MEE01
Mechanical-Heat Exchanger-Desuperheater Heat Exchanger-Desuperheater Heat Exchanger-Desuperheater Heat Exchanger,MEE02
Mechanical-Heat Exchanger-Plate And Frame Heat Exchanger-Plate And Frame Heat Exchanger-Plate And Frame Heat Exchanger,MEE03
Mechanical-Heat Exchanger-Printed Circuit Heat Exchanger-Printed Circuit Heat Exchanger-Printed Circuit Heat Exchanger,MEE05
Mechanical-Heat Exchanger-Shell And Tube Heat Exchanger-Shell And Tube Heat Exchanger-Shell And Tube Heat Exchanger,MEE06
Mechanical-Heat Exchanger-Condenser-Condenser-Condenser,MEE07
Mechanical-Heat Exchanger-Welded Plate Heat Exchanger-Welded Plate Heat Exchanger-Welded Plate Heat Exchanger,MEE08
"Mechanical-Boiler, Heater & Flare-Electric Heater-Electric Heater-Electric Heater",MEB05
Mechanical-Hydraulic Equipment-Accumulator Hydraulic-Accumulator Hydraulic-Accumulator Hydraulic,MEH01
Mechanical-Hydraulic Equipment-Control Unit Hydraulic-Control Unit Hydraulic-Control Unit Hydraulic,MEH02
Mechanical-Hydraulic Equipment-Power Unit Hydraulic-Power Unit Hydraulic-Power Unit Hydraulic,MEH03
Mechanical-Hydraulic Equipment-Hydraulic Oil-Hydraulic Oil-Hydraulic Oil,MEH04
Mechanical-Hydraulic Equipment-Hydraulic Cylinder-Hydraulic Cylinder-Hydraulic Cylinder,MEH05
Mechanical-Hydraulic Equipment-Hydraulic Mooring Structural Connector-Hydraulic Mooring Structural Connector-Hydraulic Mooring Structural Connector,MEH06
Mechanical-Hydraulic Equipment-Hydraulic Flowline QCDC-Hydraulic Flowline QCDC-Hydraulic Flowline QCDC,MEH07
Mechanical-Hydraulic Equipment-Hydraulic Umbilical QCDC-Hydraulic Umbilical QCDC-Hydraulic Umbilical QCDC,MEH08
Mechanical-Pressure Vessels-Coalescer-Pressure Vessels - Coalescer-Pressure Vessels - Coalescer,MEV01
Mechanical-Pressure Vessels-Contactor-Pressure Vessels - Contactor-Pressure Vessels - Contactor,MEV02
Mechanical-Pressure Vessels-Deaerator-Pressure Vessels - Deaerator-Pressure Vessels - Deaerator,MEV03
Mechanical-Pressure Vessels-Demister-Pressure Vessels - Demister-Pressure Vessels - Demister,MEV04
Mechanical-Pressure Vessels-Dryer-Pressure Vessels - Dryer-Pressure Vessels - Dryer,MEV05
Mechanical-Pressure Vessels-Pig Launcher-Pressure Vessels - Pig Launcher-Pressure Vessels - Pig Launcher,MEV06
Mechanical-Pressure Vessels-Process Column-Pressure Vessels - Process Column-Pressure Vessels - Process Column,MEV07
Mechanical-Pressure Vessels-Process Reactor -Pressure Vessels - Process Reactor -Pressure Vessels - Process Reactor ,MEV08
Mechanical-Pressure Vessels-Pulsation Damper-Pressure Vessels - Pulsation Damper-Pressure Vessels - Pulsation Damper,MEV09
Mechanical-Pressure Vessels-Scrubber-Pressure Vessels - Scrubber-Pressure Vessels - Scrubber,MEV10
Mechanical-Pressure Vessels-Process Separator-Pressure Vessels - Process Separator-Pressure Vessels - Process Separator,MEV11
Mechanical-Pressure Vessels-Pressure Vessel Other-Pressure Vessels - Pressure Vessel Other-Pressure Vessels - Pressure Vessel Other,MEV12
Mechanical-Propulsion & Steering-Steering Gear-Steering Gear-Steering Gear,MEG01
Mechanical-Propulsion & Steering-Thruster-Thruster-Thruster,MEG02
Mechanical-Pump-Centrifugal Pump API-Centrifugal Pump API-Centrifugal Pump API,MEP01
Mechanical-Pump-Centrifugal Pump Non API-Centrifugal Pump Non API-Centrifugal Pump Non API,MEP02
Mechanical-Pump-Diaphragm Pump-Diaphragm Pump-Diaphragm Pump,MEP03
Mechanical-Pump-Eductor-Eductor-Eductor,MEP04
Mechanical-Pump-Reciprocating Pump-Reciprocating Pump-Reciprocating Pump,MEP05
Mechanical-Pump-Rotary Pump-Rotary Pump-Rotary Pump,MEP06
Mechanical-Pump-Submerged Electrical Pump-Submerged Electrical Pump-Submerged Electrical Pump,MEP07
Mechanical-Pump-Submerged Hydraulic Pump-Submerged Hydraulic Pump-Submerged Hydraulic Pump,MEP08
Mechanical-Pump-Liquid Ring Pump-Liquid Ring Pump-Liquid Ring Pump,MEP15
Mechanical-Pump-Centrifugal Pump API-Centrifugal Pump API-Centrifugal Pump API,MEP99
Mechanical-Separator-Hydrocyclone-Hydrocyclone-Hydrocyclone,MES01
Mechanical-Separator-Purifier-Purifier-Purifier,MES02
Mechanical-Utility-Incinerator-Incinerator-Incinerator,MEU08
Mechanical-Water Treatment-Silver Ion Sterilizer-Silver Ion Sterilizer-Silver Ion Sterilizer,MEW10
Mechanical-Water Treatment-UV Sterilizer-UV Sterilizer-UV Sterilizer,MEW11
Mechanical-Tank-Tank-Tank-Tank,MET01
Mechanical-Driver & Transmission-Gearbox-Gearbox-Gearbox,MED11
Mechanical-Driver & Transmission-Variable Speed Gear-Variable Speed Gear-Variable Speed Gear,MED07
Mechanical-Driver & Transmission-Coupling-Coupling-Coupling,MED12
Mechanical-Utility-Acetylene Oxygen Distribution Package-Acetylene Oxygen Distribution Package-Acetylene Oxygen Distribution Package,MEU01
Mechanical-Compressor-Air Compressor Package-Air Compressor Package-Air Compressor Package,MEC06
Mechanical-Separator-Bilge Water Separator Package-Bilge Water Separator Package-Bilge Water Separator Package,MES03
"Mechanical-Boiler, Heater & Flare-Boiler Package-Boiler Package-Boiler Package",MEB99
Mechanical-Mechanical Ancillary-Cargo Priming & Vacuum Package-Cargo Priming & Vacuum Package-Cargo Priming & Vacuum Package,MEA08
Mechanical-Pump-Chemical Injection Package-Chemical Injection Package-Chemical Injection Package,MEP09
Mechanical-Mechanical Ancillary-Cleaning In Place Package-Cleaning In Place Package-Cleaning In Place Package,MEA09
Mechanical-Separator-CO2Removal Package-CO2Removal Package-CO2Removal Package,MES04
Mechanical-Mechanical Filter-Coarse Filtration Package-Coarse Filtration Package-Coarse Filtration Package,MEF03
Mechanical-Separator-Condensate Stabilization Package-Condensate Stabilization Package-Condensate Stabilization Package,MES05
Mechanical-Heat Exchanger-Cooling Water Package-Cooling Water Package-Cooling Water Package,MEE09
Mechanical-Water Treatment-Deaeration Vacuum Package-Deaeration Vacuum Package-Deaeration Vacuum Package,MEW01
Mechanical-Separator-Dehydration Package-Dehydration Package-Dehydration Package,MES16
Mechanical-Separator-Dewpointing Package-Dewpointing Package-Dewpointing Package,MES06
Mechanical-Pump-Fuel Filter Package-Fuel Filter Package-Fuel Filter Package,MEP10
Mechanical-Water Treatment-Fine Filtration Package-Fine Filtration Package-Fine Filtration Package,MEW02
Mechanical-Pump-Fire Water Pump Package-Fire Water Pump Package-Fire Water Pump Package,MEP11
"Mechanical-Boiler, Heater & Flare-Flare Tip Package-Flare Tip Package-Flare Tip Package",MEB06
Mechanical-Water Treatment-Fresh Water Generation Package-Fresh Water Generation Package-Fresh Water Generation Package,MEW03
Mechanical-Separator-Fuel Gas Treatment Package-Fuel Gas Treatment Package-Fuel Gas Treatment Package,MES07
"Mechanical-Boiler, Heater & Flare-Fuel Gas Valve Package-Fuel Gas Valve Package-Fuel Gas Valve Package",MEB07
Mechanical-Compressor-Gas Compression Package-Gas Compression Package-Gas Compression Package,MEC08
Mechanical-Separator-Gas Sweetening Package-Gas Sweetening Package-Gas Sweetening Package,MES08
Mechanical-Separator-Gas Treatment Package-Gas Treatment Package-Gas Treatment Package,MES09
"Mechanical-Boiler, Heater & Flare-Heating Medium Boiler Package-Heating Medium Boiler Package-Heating Medium Boiler Package",MEB08
Mechanical-Utility-Helifuel Package-Helifuel Package-Helifuel Package,MEU02
Mechanical-Hydraulic Equipment-Hydraulic Package-Hydraulic Package-Hydraulic Package,MEH99
Mechanical-Separator-Hydrocyclone Package-Hydrocyclone Package-Hydrocyclone Package,MES10
Mechanical-Separator-Induced Gas Flotation Package-Induced Gas Flotation Package-Induced Gas Flotation Package,MES11
Mechanical-Mechanical Ancillary-Inert Gas Generation Package-Inert Gas Generation Package-Inert Gas Generation Package,MEA10
Mechanical-Utility-Laboratory Package-Laboratory Package-Laboratory Package,MEU03
Mechanical-Utility-Lube Oil Package-Lube Oil Package-Lube Oil Package,MEU04
Mechanical-Utility-Nitrogen Generation Package-Nitrogen Generation Package-Nitrogen Generation Package,MEU06
Mechanical-Utility-Nitrogen Intensifier Package-Nitrogen Intensifier Package-Nitrogen Intensifier Package,MEU07
Mechanical-Utility-Snuffing Package-Snuffing Package-Snuffing Package,MEU05
Mechanical-Separator-Oily Water Separator Package-Oily Water Separator Package-Oily Water Separator Package,MES12
Mechanical-Driver & Transmission-Power Generation Diesel Engine Package-Power Gen Diesel Engine Package-Power Generation Diesel Engine Package,MED08
Mechanical-Driver & Transmission-Power Generation Gas Turbine Package-Power Gen Gas Turbine Package-Power Generation Gas Turbine Package,MED09
Mechanical-Driver & Transmission-Power Generation Steam Turbine Package-Power Gen Steam Turbine Package-Power Generation Steam Turbine Package,MED10
Mechanical-Separator-Sand Removal Package-Sand Removal Package-Sand Removal Package,MES13
Mechanical-Water Treatment-Water Treatment Package-Water Treatment Package-Water Treatment Package,MEW04
Mechanical-Water Treatment-Sewage Water Treatment Package-Sewage Water Treatment Package-Sewage Water Treatment Package,MEW05
Mechanical-Separator-Slop Water Separation Package-Slop Water Separation Package-Slop Water Separation Package,MES14
Mechanical-Water Treatment-Sulphate Reduction Package-Sulphate Reduction Package-Sulphate Reduction Package,MEW06
Mechanical-Heat Exchanger-Waste Heat Recovery Package-Waste Heat Recovery Package-Waste Heat Recovery Package,MEE10
Mechanical-Pump-Water Injection Pump Package-Water Injection Pump Package-Water Injection Pump Package,MEP13
Mechanical-Pump-Well Service Pump Package-Well Service Pump Package-Well Service Pump Package,MEP14
Mechanical-Water Treatment-Chemical Dosing-Chemical Dosing-Chemical Dosing,MEW07
Mechanical-Water Treatment-Anti Marine Growth Unit-Anti Marine Growth Unit-Anti Marine Growth Unit,MEW08
Mechanical-Water Treatment-Hydrophore Package-Hydrophore Package-Hydrophore Package,MEW09
Mechanical-Separator-Compact Floatation Unit-Compact Floatation Unit-Compact Floatation Unit,MES17
Mechanical-Heat Exchanger-Once Through Steam Generator-Once Through Steam Generator-Once Through Steam Generator,MEE04
Mechanical-Compressor-Air Dryer Package-Air Dryer Package-Air Dryer Package,MEC14
Mechanical-Pump-Chemical Distribution Package-Chemical Distribution Package-Chemical Distribution Package,MEP16
Mechanical-Separator-TEG Regeneration Package-TEG Regeneration Package-TEG Regeneration Package,MES18
Mechanical-Separator-MEG Regeneration Package-MEG Regeneration Package-MEG Regeneration Package,MES19
"Mechanical-Boiler, Heater & Flare-Flare Ignition Package-Flare Ignition Package-Flare Ignition Package",MEB09
Mechanical-Separator-Refrigeration Package-Refrigeration Package-Refrigeration Package,MES20
Mechanical-Compressor-Refrigeration Compressor Package-Refrigeration Compressor Package-Refrigeration Compressor Package,MEC13
Mechanical-Driver & Transmission-Power Generation Combine Cycle Package-Power Gen Combine Cycle Package-Power Generation Combine Cycle Package,MED13
Instruments & Controls-Monitoring System-ALLMS-ALLMS-ALLMS,ICD06
Mechanical-SMP Equipment Ancillary Systems-OPS High Pressure Unit-OPS High Pressure Unit-OPS High Pressure Unit,MEN01
Mechanical-SMP Equipment Ancillary Systems-Weathervaning Lubrication System-Weathervaning Lubrication System-Weathervaning Lubrication System,MEN02
Mechanical-SMP Equipment Ancillary Systems-Skid-Skid-Skid,MEN03
Mechanical-SMP Equipment Ancillary Systems-Mechanical Fasteners-Mechanical Fasteners-Mechanical Fasteners,MEN04
Mechanical-SMP Equipment Ancillary Systems-Leak Recuperation-Leak Recuperation-Leak Recuperation,MEN05
Mechanical-SMP Equipment Ancillary Systems-LRS-Leak Header-LRS-Leak Header-LRS-Leak Header,MEN06
Mechanical-SMP Equipment Ancillary Systems-LRS-Local Leak Unit (LLU)-LRS-Local Leak Unit (LLU)-LRS-Local Leak Unit (LLU),MEN07
Mechanical-SMP Equipment Ancillary Systems-OPS-Local Pressurisation Unit (LPU)-OPS-Local Pressurisation Unit (LPU)-OPS-Local Pressurisation Unit (LPU),MEN08
Mechanical-SMP Equipment Ancillary Systems-LRS - Leak Recuperation Unit (LRU)-LRS - Leak Recuperation Unit (LRU)-LRS - Leak Recuperation Unit (LRU),MEN09
Mechanical-SMP Equipment Ancillary-SMP O-Ring-SMP O-Ring-SMP O-Ring,MEO13
Mechanical-SMP Equipment Ancillary-Proprietary SBM Seal -Proprietary SBM Seal -Proprietary SBM Seal ,MEO14
Mechanical-SMP Equipment Ancillary-Special Seal-Special Seal-Special Seal,MEO15
Mechanical-SMP Equipment Ancillary-Tools Miscellanous-Tools Miscellanous-Tools Miscellanous,MEO16
Mechanical-SMP Equipment Ancillary-SMP Miscellaneous Consumables-SMP Miscellaneous Consumables-SMP Miscellaneous Consumables,MEO17
